"Advertiser ID","Advertiser","Campaign Group ID","Campaign Group","Campaign ID","Campaign","Domains","App Title","Channel Type","Channel Subtype","Media Cost","Third-Party CPM Fee","Third-Party CPC Fee","Impressions","Clicks","Conversions","eCPM","CTR","CVR","eCPC","eCPA","Secondary Conversions","Conversion Revenue","ROAS","eCPE","eCPA (Secondary)"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3189086","Le couple en quête de déconnexion_Native Ad","caminteresse.fr","","Native","Standard","€15,20 ","€0,00 ","€0,00 ","4 150","62","0","€3,66 ","1,49%","0,00%","€0,25 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183430","Le couple en quête de déconnexion_Display Ad","sudouest.fr","","Display","Standard","€0,11 ","€0,00 ","€0,00 ","26","0","0","€4,21 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183430","Le couple en quête de déconnexion_Display Ad","futura-sciences.com","","Display","Standard","€2,22 ","€0,00 ","€0,00 ","564","1","0","€3,93 ","0,18%","0,00%","€2,22 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3182542","La famille exploratrice_Native Ad","laviedesreines.com","","Native","Standard","€0,11 ","€0,00 ","€0,00 ","31","0","0","€3,61 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3189086","Le couple en quête de déconnexion_Native Ad","ouest-france.fr","","Native","Standard","€0,02 ","€0,00 ","€0,00 ","6","0","0","€3,73 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3189086","Le couple en quête de déconnexion_Native Ad","futura-sciences.com","","Native","Standard","€2,13 ","€0,00 ","€0,00 ","583","2","0","€3,65 ","0,34%","0,00%","€1,06 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183139","La famille exploratrice_Display Ad","sports.fr","","Display","Standard","€16,79 ","€0,00 ","€0,00 ","4 234","17","0","€3,96 ","0,40%","0,00%","€0,99 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3182542","La famille exploratrice_Native Ad","parismatch.com","","Native","Standard","€1,91 ","€0,00 ","€0,00 ","524","0","0","€3,64 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3189086","Le couple en quête de déconnexion_Native Ad","logic-immo.com","","Native","Standard","€0,10 ","€0,00 ","€0,00 ","28","0","0","€3,70 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183139","La famille exploratrice_Display Ad","femmeactuelle.fr","","Display","Standard","€4,20 ","€0,00 ","€0,00 ","1 085","0","0","€3,87 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183139","La famille exploratrice_Display Ad","midilibre.fr","","Display","Standard","€5,52 ","€0,00 ","€0,00 ","1 383","2","0","€3,99 ","0,14%","0,00%","€2,76 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183139","La famille exploratrice_Display Ad","latribune.fr","","Display","Standard","€0,07 ","€0,00 ","€0,00 ","18","0","0","€4,05 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183139","La famille exploratrice_Display Ad","lexpress.fr","","Display","Standard","€0,01 ","€0,00 ","€0,00 ","3","0","0","€4,67 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3183430","Le couple en quête de déconnexion_Display Ad","actu.fr","","Display","Standard","€0,06 ","€0,00 ","€0,00 ","14","0","0","€4,50 ","0,00%","n/a","n/a","n/a","0","€0,00 ","0,00%","n/a","n/a"
"126243","Côtes-d'Armor Destination","436943","Campagne Communication Côtes-d'Armor Destination x Agence hémisphère Sud","3189086","Le couple en quête de déconnexion_Native Ad","centrepresseaveyron.fr","","Native","Standard","€2,04 ","€0,00 ","€0,00 ","560","1","0","€3,64 ","0,18%","0,00%","€2,04 ","n/a","0","€0,00 ","0,00%","n/a","n/a"
